url, title, output_filename, output_subfolder
https://www.ipcc.ch/report/ar6/syr/downloads/report/IPCC_AR6_SYR_LongerReport.pdf, IPCC AR6 Longer Report, IPCC_AR6_SYR_LongerReport.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_SPM.pdf, IPCC AR6 Working Group I Summary for Policymakers, IPCC_AR6_WGI_SPM.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_TS.pdf, IPCC AR6 Working Group I Technical Summary, IPCC_AR6_WGI_TS.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter01.pdf, IPCC AR6 Working Group I Chapter 1, IPCC_AR6_WGI_Chapter01.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter02.pdf, IPCC AR6 Working Group I Chapter 2, IPCC_AR6_WGI_Chapter02.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter03.pdf, IPCC AR6 Working Group I Chapter 3, IPCC_AR6_WGI_Chapter03.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter04.pdf, IPCC AR6 Working Group I Chapter 4, IPCC_AR6_WGI_Chapter04.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter05.pdf, IPCC AR6 Working Group I Chapter 5, IPCC_AR6_WGI_Chapter05.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter06.pdf, IPCC AR6 Working Group I Chapter 6, IPCC_AR6_WGI_Chapter06.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07.pdf, IPCC AR6 Working Group I Chapter 7, IPCC_AR6_WGI_Chapter07.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter08.pdf, IPCC AR6 Working Group I Chapter 8, IPCC_AR6_WGI_Chapter08.pdf, ipcc
